inception_date,currency,risk_classification,min_initial_participation,remarks,min_additional_participation,min_maintaining_balance,min_holding_period,cutoff_time_for_participationredemption,settlement_date,trust_fee_structure,early_redemption_fee,benchmark,fund_name,classification,navpu,bank,url
"Oct 15, 2019",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,50% BoFA Merrill Lynch Fixed Rate Preferred Securities Index + 50% BoFA Merrill Lynch US Capital Securities Index 												,Manulife Global Preferred Income Feeder Fund (PHP Unhedged Class I),Feeder Fund - Multi-Asset,46.1992,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=369&bank_id=39
"Jul 12, 2022",PHP,Aggressive,"PHP 1,000.00",,PHP 50.00,"PHP 1,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% per annum,none,50% MSCI AC Asia Pacific ex Japan Index and 50% Bloomberg EM Asia Index				,ATRAM Asian Multi,Feeder Fund - Multi-Asset,89.105897,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=450&bank_id=31
"Mar 18, 2021",USD,Moderate,"USD 3,000.00",,USD 50.00,"USD 3,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 3 business days",0.65% p.a.,none,Secured Overnight Financing Rate					,ATRAM Global Access Bond Income Feeder Fund,Feeder Fund - Fixed Income,0.894504,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=411&bank_id=31
"Oct 27, 2021",PHP,Aggressive,"PHP 1,000.00",,PHP 500.00,PHP 0.00,0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,36% MSCI USA 500 Index; 24% FTSE World (ex-US); 24% Bloomberg U.S. Treasury Bellwethers: 5 Year; 16% FTSE Non-USD World Government Bond Index																,ATRAM Global Allocation Feeder Fund (PHP Unit Class),Feeder Fund - Multi-Asset,89.925582,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=433&bank_id=31
"Oct 18, 2018",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.50% as a % p.a. of the NAV,N/A,50% JP Morgan Emerging LocalMarkets Index Plus (Asia) + 50% JP Morgan Asia Credit Index (USD)									,Manulife Asia Dynamic Bond Feeder Fund (USD Class A),Feeder Fund - Fixed Income,0.947,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=348&bank_id=39
"Jun 11, 2019",PHP,Aggressive,"PHP 5,000.00",,"PHP 1,000.00","PHP 1,000.00",30 calendar days,11:30 AM,T + 4,1.00% p.a.,0.50% of the net proceeds, PSEi						,Sterling Bank Philequity Feeder Fund,Feeder Fund - Fixed Income,0.79266,Sterling Bank of Asia,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=370&bank_id=33
"Jul 28, 2014",USD,Moderate,"USD 3,000.00",,USD 50.00,"USD 3,000.00",0 banking days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",0.65% p.a.,none,Secured Overnight Financing Rate			,ATRAM Global Total Return Bond Feeder Fund,Feeder Fund - Fixed Income,0.585986,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=233&bank_id=31
"Jul 27, 2018",PHP,Moderate,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",0 banking days,11:30 AM,T+3,0.50% p.a. ,Not Applicable,98% Bloomberg Sovereign Bond Index 1-5 Year (net of tax) + 2% Philippine Peso TD Rate 1-3 months (net of tax),Maybank Tiger Peso Bond Feeder Fund,Feeder Fund - Fixed Income,1.150457,Maybank Philippines Inc.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=342&bank_id=40
"Aug 27, 2015",PHP,Moderate,"PHP 1,000.00",,PHP 500.00,"PHP 1,000.00",0 calendar days,12:00 PM,T + 1,None,None,Markit iBoxx ALBI Philippines 1-5						,Metro Aspire Bond Feeder Fund,Feeder Fund - Fixed Income,1.152846,Metropolitan Bank & Trust Co.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=267&bank_id=1
"Jul 27, 2018",PHP,Moderate,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",7 banking days,11:30 AM,T+1,0.25% p.a. ,0.25% of redemption proceeds,90% Philippine Peso TD Rate 1-3 months (net of tax),Maybank Tiger Peso Money Market Feeder Fund,Feeder Fund - Fixed Income,1.12018,Maybank Philippines Inc.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=341&bank_id=40
"May 22, 2019",PHP,Moderately Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,03:00 PM,Subscription: T + 0 business days; Redemption: T + 5 to 7 business days,0.90% p.a.,none,"Bloomberg Global Credit Index, USD Hedged											",ATRAM Global Bond Income Feeder Fund,Feeder Fund - Fixed Income,85.052454,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=364&bank_id=31
"Dec 16, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.00% as a % p.a. of the NAV,N/A,JACI Investment Grade 1-3 Years Index									,Manulife Asia Short Duration Bond Feeder Fund (PHP Unhedged Class A),Feeder Fund - Fixed Income,56.4052,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=469&bank_id=39
"Oct 18, 2018",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.50% as a % p.a. of the NAV,N/A,50% JP Morgan Emerging LocalMarkets Index Plus (Asia) + 50% JP Morgan Asia Credit Index (USD)								,Manulife Asia Dynamic Bond Feeder Fund (PHP Unhedged Class A),Feeder Fund - Fixed Income,53.6949,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=349&bank_id=39
"Apr 30, 2019",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,"1/3 MSCI USA 500 Index, 1/3 Bloomberg US High Yield Index, 1/3 Bloomberg US Convertibles Composite Total Return Index							",ATRAM US Multi,Feeder Fund - Fixed Income,109.618974,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=361&bank_id=31
"Jan 9, 2023",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,MSCI ACWI NR USD Index						,Manulife Global Dynamic Leaders Equity Feeder Fund (USD Class A),Feeder Fund - Equity,1.0888,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=475&bank_id=39
"Sep 9, 2022",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.25% as a % p.a. of the NAV,N/A,MSCI AC World (Net) Total Return								,Manulife Global Clean Energy Equity Feeder Fund (USD Class A),Feeder Fund - Equity,0.9411,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=457&bank_id=39
"Apr 29, 2022",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.25% as a % p.a. of the NAV,N/A,MSCI AC World (Net) Total Return										,Manulife Global Thematic Opportunities Equity Feeder Fund (USD Class A),Feeder Fund - Equity,0.9454,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=444&bank_id=39
"Jan 20, 2022",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.25% as a % p.a. of the NAV,N/A,MSCI World Information Technology Index														,Manulife Global Technology Equity Feeder Fund (USD Class A),Feeder Fund - Equity,0.8426,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=436&bank_id=39
"Jul 21, 2021",USD,Aggressive,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV ,N/A,100% S&P Developed Property Index										,Manulife Global REIT Feeder Fund (USD Class A),Feeder Fund - Equity,0.7007,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=423&bank_id=39
"May 10, 2021",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,N/A,N/A,S&P 500 Index 									,Manulife American Growth Equity Feeder Fund (USD Class I),Feeder Fund - Equity,0.9688,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=417&bank_id=39
"Aug 17, 2021",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,MSCI India 10/40 Index								,Manulife India Equity Feeder Fund (USD Class A),Feeder Fund - Equity,0.97,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=426&bank_id=39
"May 10, 2021",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,N/A,N/A,MSCI Zhong Hua Index											,Manulife Dragon Growth Equity Feeder Fund (USD Class I),Feeder Fund - Equity,0.5045,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=415&bank_id=39
"Jan 18, 2021",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV ,N/A ,MSCI World/Healthcare NR USD Index																	,Manulife Global Healthcare Equity Feeder Fund (USD Class A),Feeder Fund - Equity,1.0885,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=398&bank_id=39
"May 15, 2019",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,S&P 500 Index								,Manulife American Growth Equity Feeder Fund (USD Class A),Feeder Fund - Equity,1.4396,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=362&bank_id=39
"Dec 10, 2018",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,MSCI Zhong Hua Index								,Manulife Dragon Growth Equity Feeder Fund (USD Class A),Feeder Fund - Equity,0.8076,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=352&bank_id=39
"Apr 23, 2020",USD,Aggressive,USD 500.00,,USD 200.00,USD 500.00,30 calendar days,11:59 PM,5 banking days from date of redemption or T+5,0.50%,"USD 10 or 0.25% of the redemption amount, whichever is higher",S & P 500 Index										,EastWest S&P 500 Index Equity Feeder Fund,Feeder Fund - Equity,153.4537,EastWest Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=386&bank_id=8
"Feb 1, 2021",USD,Aggressive,USD 100.00,,USD 0.00,USD 100.00,0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+5 (end of day),1.00% p.a.,None,MSCI World Health Care Index						,BPI GLOBAL HEALTH CARE FEEDER FUND,Feeder Fund - Equity,83.65,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=401&bank_id=3
"Feb 1, 2021",USD,Aggressive,USD 100.00,,USD 0.00,USD 100.00,0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+5 (end of day),1.00% p.a.,none,MSCI All Country World Information Technology Index						,BPI WORLD TECHNOLOGY FEEDER FUND,Feeder Fund - Equity,76.49,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=400&bank_id=3
"Aug 5, 2014",USD,Aggressive,USD 100.00,,USD 0.00,USD 100.00,0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+5 (end of day),0.75% p.a.,None,MSCI Europe Index						,BPI EUROPEAN EQUITY FEEDER FUND,Feeder Fund - Equity,135.88,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=236&bank_id=3
"Aug 5, 2014",USD,Aggressive,USD 100.00,,USD 0.00,USD 100.00,0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+5 (end of day),0.75% p.a.,None,S&P® 500 Index					,BPI US EQUITY INDEX FEEDER FUND CLASS A (USD CLASS),Feeder Fund - Equity,231.04,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=235&bank_id=3
"May 20, 2008",USD,Aggressive,USD 100.00,,USD 0.00,USD 100.00,0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+6 (end of day),1.10% p.a.,None,MSCI AC Asia Pacific ex-Japan High Dividend Net Return USD Index							,ODYSSEY ASIA PACIFIC HIGH DIVIDEND EQUITY FEEDER FUND,Feeder Fund - Equity,11.5,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=67&bank_id=3
"Jun 26, 2019",USD,Balanced,USD 500.00,,USD 500.00,USD 500.00,0 calendar days,02:30 PM,Five (5) banking days after redemption valuation date (T + 5),0.50% p.a.,0%,MSCI Emerging Markets Index										,BDO GLOBAL EM EQUITY INDEX FEEDER FUND,Feeder Fund - Equity,95.3924,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=367&bank_id=6
"Feb 28, 2018",USD,Balanced,USD 500.00,,USD 500.00,USD 500.00,0 calendar days,02:30 PM,Five (5) banking days after redemption valuation date (T + 5),0.50% p.a. ,0%,MSCI World Index 												,BDO GLOBAL EQUITY INDEX FEEDER FUND,Feeder Fund - Equity,141.1164,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=326&bank_id=6
"May 23, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,MSCI World/Healthcare NR USD Index											,Manulife Global Healthcare Equity Feeder Fund (Php Unhedged Class I),Feeder Fund - Equity,59.9773,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=446&bank_id=39
"Aug 17, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,MSCI India 10/40 Index								,Manulife India Equity Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,55.05,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=427&bank_id=39
"Apr 29, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.25% as a % p.a. of the NAV,N/A,MSCI AC World (Net) Total Return									,Manulife Global Thematic Opportunities Equity Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,53.4341,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=443&bank_id=39
"Jan 20, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.25% as a % p.a. of the NAV,N/A,MSCI World Information Technology Index												,Manulife Global Technology Equity Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,47.7527,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=437&bank_id=39
"Jul 21, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV ,N/A,100% S&P Developed Property Index											,Manulife Global REIT Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,39.673,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=424&bank_id=39
"May 10, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days ,N/A,N/A,S&P 500 Index 											,Manulife American Growth Equity Feeder Fund (Php Unhedged Class I),Feeder Fund - Equity,55.016,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=418&bank_id=39
"Jan 18, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV ,N/A,MSCI World/Healthcare NR USD Index																				,Manulife Global Healthcare Equity Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,61.7973,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=399&bank_id=39
"May 10, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days ,N/A,N/A,MSCI Zhong Hua Index											,Manulife Dragon Growth Equity Feeder Fund (PHP Unhedged Class I),Feeder Fund - Equity,28.6789,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=416&bank_id=39
"May 15, 2019",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,S&P 500 Index								,Manulife American Growth Equity Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,81.3191,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=363&bank_id=39
"Oct 29, 2014",PHP,Aggressive,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,12:00 PM,T+4,1.00% per annum,PHP500 or 0.25% of the redemption proceeds whichever is higher,Philippine Stock Exchange Index								,EastWest PhilEquity Feeder Fund,Feeder Fund - Equity,872.6261,EastWest Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=250&bank_id=8
"Dec 10, 2018",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,MSCI Zhong Hua Index								,Manulife Dragon Growth Equity Feeder Fund (PHP Unhedged Class A),Feeder Fund - Equity,45.7059,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=353&bank_id=39
"Aug 1, 2017",PHP,Aggressive,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,11:00 AM,T + 5,1.00%,1.00%,Philippine Stock Exchange Index						,CTBC Bank,Feeder Fund - Equity,0.7832,CTBC Bank (Philippines) Corp.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=318&bank_id=36
"Nov 11, 2019",PHP,Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+5 (end of day),0.75% p.a.,N/A,S&P® 500 Index												,BPI US EQUITY INDEX FEEDER FUND CLASS P (PHIL PESO CLASS),Feeder Fund - Equity,156.67,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=377&bank_id=3
"May 22, 2017",PHP,Aggressive,"PHP 50,000.00",,"PHP 10,000.00","PHP 50,000.00",0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+7 (end of day),0.50% p.a.,None,MSCI All Country World Index (PHP)							,BPI CATHOLIC VALUES GLOBAL EQUITY FEEDER FUND,Feeder Fund - Equity,151.46,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=296&bank_id=3
"Dec 14, 2021",PHP,Moderately Aggressive,"PHP 1,000.00",,PHP 500.00,PHP 0.00,0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,"MSCI ACWI Infrastructure Index, Net Dividends			",ATRAM Global Infra Equity Feeder Fund,Feeder Fund - Equity,88.269581,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=434&bank_id=31
"Dec 14, 2021",PHP,Moderately Aggressive,"PHP 1,000.00",,PHP 500.00,PHP 0.00,0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,"MSCI ACWI Health Care Index, Net Dividends								",ATRAM Global Health Care Feeder Fund,Feeder Fund - Equity,96.953022,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=435&bank_id=31
"Jun 7, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption T + 5 to 7 business Days",1.20% p.a.,none,"MSCI AC World Index, Net Dividends							",ATRAM Global Equity Opportunity Fund (PHP Unit Class),Feeder Fund - Equity,101.177036,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=420&bank_id=31
"Feb 28, 2020",PHP,Aggressive,"PHP 1,000.00",,PHP 500.00,PHP 0.00,0 calendar days,03:00 PM,Subscription: T + 0 business days; Redemption: T + 5 to 7 business days,1.20% p.a.,none,"MSCI World Consumer Discretionary Index, Net Dividends																						",ATRAM Global Consumer Trends Feeder Fund,Feeder Fund - Equity,118.021784,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=385&bank_id=31
"Mar 26, 2019",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,"MSCI ACWI Financials Index, Net Dividends									",ATRAM Global Financials Feeder Fund,Feeder Fund - Equity,145.075733,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=355&bank_id=31
"Apr 30, 2018",PHP,Aggressive,"PHP 1,000.00",,PHP 500.00,PHP 0.00,0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.15% p.a.,none,"MSCI ACWI Information Technology Index, Net Dividends									",ATRAM Global Technology Feeder Fund,Feeder Fund - Equity,246.447615,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=327&bank_id=31
"Dec 8, 2016",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,"MSCI AC Asia Pacific ex Japan Index, Net Dividends																",ATRAM Asia Equity Opportunity Feeder Fund,Feeder Fund - Equity,111.466022,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=290&bank_id=31
"May 10, 2016",PHP,Moderately Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.10% p.a.,none,"MSCI AC World Index, Net Dividends													",ATRAM Global Dividend Feeder Fund,Feeder Fund - Equity,154.477737,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=273&bank_id=31
"May 22, 2014",PHP,Aggressive,"PHP 50,000.00",,PHP 0.00,PHP 0.00,30 calendar days,02:00 PM,T + 4 Days,1% per annum,"0.25% of the redeemed amount or Php 500, whichever is higher",Philippine Stock Exchange Index (PSEi)								,UnionBank PSE Index Tracker Fund,Equity Index Tracker Fund,96.158736,Union Bank,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=230&bank_id=13
"Nov 23, 2015",PHP,Aggressive,"PHP 10,000.00",,"PHP 5,000.00","PHP 5,000.00",0 calendar days,01:30 PM,T+4,1.00% p.a.,N/A,Philippine Stock Exchange Index 							,SB PHILIPPINE EQUITY INDEX FUND,Equity Index Tracker Fund,0.90707,Security Bank Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=263&bank_id=12
"May 7, 2020",PHP,Aggressive,"PHP 50,000,000.00",,"PHP 10,000.00","PHP 50,000,000.00",30 calendar days,02:30 PM,T + 4 business days,0.50%,0.50% based on redemption amount,Philippine Stock Exchange Composite Index								,PRUInvest PH Equity Index Tracker Fund (Class I),Equity Index Tracker Fund,1.1423,Pru Life UK Investments,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=390&bank_id=41
"Aug 27, 2020",PHP,Aggressive,PHP 1.00,,PHP 1.00,PHP 1.00,30 calendar days,02:30 PM,T + 4 business days,0.15%,0.50% based on redemption amount,Philippine Stock Exchange Composite Index									,PRUInvest PH Equity Index Tracker Fund (Class V),Equity Index Tracker Fund,1.1146,Pru Life UK Investments,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=449&bank_id=41
"Sep 8, 2010",PHP,Aggressive,"PHP 2,000.00","Class I - PHP 10,000 (via any PNB Branch) Class II - PHP 2,000 (via PNB UITF Online)","PHP 2,000.00","PHP 2,000.00",30 calendar days,01:00 PM,T+2,1.00% p.a. of fund value,"50% of income earned, if any","100% PSEi
																																				",PNB PHIL,Equity Index Tracker Fund,1.482981,Philippine National Bank,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=7&bank_id=2
"May 7, 2020",PHP,Aggressive,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,02:30 PM,T + 4 business days,1.00%,0.50% based on redemption amount,Philippine Stock Exchange Composite Index						,PRUInvest PH Equity Index Tracker Fund (Class A),Equity Index Tracker Fund,1.1221,Pru Life UK Investments,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=389&bank_id=41
"Oct 10, 2014",PHP,Aggressive,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",7 calendar days,12:00 PM,T + 3,1.00% p.a. based on Net Asset Value (NAV),50% of income on redeemed amount,Philippine Stock Exchange Index (PSEi)										,Metro Philippine Equity Index Tracker Fund,Equity Index Tracker Fund,0.927611,Metropolitan Bank & Trust Co.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=247&bank_id=1
"Dec 1, 2015",PHP,Aggressive,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,12:00 PM,T+4,0.75% p.a of the market value of the fund,"P500.00 or 0.25% of redemption proceeds, whichever is higher",Philippine Stock Exchange Index								,EastWest PSEI Tracker Fund,Equity Index Tracker Fund,93.1868,EastWest Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=264&bank_id=8
"Mar 1, 2021",PHP,Aggressive,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",15 calendar days,12:00 PM,T+3,1.0% based on NAV before trust fee for the day,1.0% of redemption proceeds,Philippine Stock Exchange Index (PSEi)						,CHINA BANK PHILIPPINE EQUITY INDEX TRACKER FUND,Equity Index Tracker Fund,0.92605,China Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=406&bank_id=7
"Jan 16, 2017",PHP,Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+0; Redemption: T+2 (end of day),1.00% p.a.,None,BPI Philippine Consumer Equity Index								,BPI PHILIPPINE CONSUMER EQUITY INDEX FUND,Equity Index Tracker Fund,78.38,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=293&bank_id=3
